letter,position,percent1,delta,x,y
h,3,0.040816327,0.040816327,0,6
d,8,0.196969697,0.045454545,4,3
u,2,0.063829787,0.063829787,5,1
s,8,0.162790698,0.093023256,5,1
w,4,0.194029851,0.089552239,7,2
g,4,0.102564103,0.051282051,5,1
i,4,0.1,0.033333333,0,12
c,2,0.090909091,0.022727273,2,6
m,8,0.123287671,0.04109589,6,2
p,6,0.151515152,0.075757576,6,1
k,8,0.095238095,0.031746032,2,8
l,6,0.266666667,0.066666667,4,3
a,6,0.12,0.08,4,1
z,4,0.139534884,0.046511628,2,3
y,4,0.137254902,-0.823529412,8,0
c,6,0.159090909,0.045454545,2,4
r,6,0.259259259,0.074074074,3,3
t,8,0.027027027,0.027027027,1,1
x,6,0.212765957,0.021276596,3,4
o,2,0.26,0.08,6,3
p,2,0.060606061,0.015151515,1,4
u,6,0.212765957,0.127659574,7,1
n,6,0.092592593,0.092592593,4,1
b,2,0.183333333,0.05,3,8
k,4,0.126984127,0.015873016,1,7
h,6,0.142857143,0.142857143,7,1
h,3,0.142857143,0.040816327,0,8
z,5,0.255813953,0.139534884,7,0
y,8,0.254901961,0.039215686,7,4
h,2,0.306122449,0.12244898,8,5
v,6,0.289473684,0.105263158,6,3
a,4,0.06,0.02,1,5
e,4,0.25,0.104166667,5,3
u,2,0.191489362,0.085106383,7,2
z,6,0.046511628,0.046511628,2,1
m,4,0.109589041,0.054794521,3,2
z,4,0.162790698,0.023255814,2,6
i,8,0.2,0.066666667,4,2
c,5,0.113636364,0.113636364,6,0
p,4,0.257575758,0.136363636,8,1
y,4,0.254901961,0.117647059,8,1
s,4,0.11627907,0.11627907,5,1
g,2,0.256410256,0.025641026,4,6
w,6,0.268656716,0.089552239,7,4
k,6,0.253968254,0.111111111,8,2
p,2,0.136363636,0.03030303,2,4
c,6,0.136363636,0.068181818,3,2
g,8,0.217948718,0.025641026,4,5
f,4,0.14,0.04,5,3
u,6,0.14893617,0.042553191,3,3
a,6,0.1,0.06,3,1
r,4,0.111111111,0.111111111,3,1
b,8,0.233333333,0.016666667,2,8
n,2,0.296296296,0.055555556,5,5
r,8,0.074074074,0.074074074,4,1
h,6,0.142857143,0.040816327,5,2
j,6,0.166666667,0.023809524,0,10
m,8,0.273972603,0.04109589,4,8
v,2,0.263157895,0.052631579,4,4
p,2,0.196969697,0.03030303,2,6
t,6,0.135135135,0.054054054,2,2
h,6,0.306122449,0.040816327,3,7
k,2,0.047619048,0.015873016,2,6
a,4,0.18,0.1,5,2
b,2,0.05,0.016666667,6,3
o,6,0.08,0.06,4,1
c,8,0.136363636,0.068181818,4,2
s,2,0.139534884,0.046511628,2,5
i,2,0.166666667,0.1,5,2
a,2,0.1,0.1,8,1
t,6,0.27027027,0.108108108,4,2
d,8,0.242424242,0.045454545,4,4
i,5,0.233333333,0.133333333,6,0
x,8,0.212765957,0.042553191,3,8
d,8,0.257575758,0.090909091,7,2
w,6,0.104477612,0.059701493,10,1
j,2,0.071428571,0.023809524,2,2
v,4,0.078947368,0.078947368,3,1
z,6,0.209302326,0.023255814,3,4
h,8,0.244897959,0.06122449,6,3
t,4,0.108108108,0.027027027,1,4
w,6,0.044776119,-0.701492537,9,0
d,2,0.045454545,0.045454545,8,1
n,4,0.111111111,0.055555556,2,2
w,6,0.268656716,0.044776119,4,7
u,8,0.29787234,0.106382979,5,2
e,3,0.104166667,0.104166667,0,6
d,8,0.227272727,0.045454545,5,3
m,6,0.178082192,0.178082192,13,1
p,3,0.257575758,0.136363636,0,6
u,2,0.276595745,0.085106383,7,3
z,8,0.093023256,0.023255814,2,7
z,4,0.23255814,0.11627907,5,2
n,8,0.222222222,0.092592593,7,2
c,6,0.113636364,0.045454545,2,3
i,6,0.2,0.066666667,1,8
l,6,0.066666667,0.033333333,1,10
s,2,0.069767442,0.023255814,1,7
d,4,0.075757576,0.045454545,3,6
s,6,0.093023256,-0.837209302,6,0
u,8,0.212765957,0.021276596,2,6
a,6,0.14,0.04,2,3
p,2,0.045454545,0.015151515,1,3
o,8,0.2,0.06,4,3
q,8,0.28358209,0.089552239,8,3
h,6,0.06122449,0.020408163,2,2
i,6,0.233333333,0.033333333,1,11
s,6,0.279069767,0.046511628,2,6
x,4,0.127659574,0.127659574,5,1
d,4,0.045454545,0.03030303,2,6
u,6,0.085106383,0.021276596,2,4
m,8,0.150684932,0.02739726,5,4
l,6,0.066666667,0.066666667,2,1
p,2,0.060606061,0.015151515,1,4
o,8,0.26,0.06,5,3
q,3,0.089552239,0.089552239,0,5
d,8,0.166666667,0.03030303,3,4
g,4,0.08974359,0.012820513,1,8
v,7,0.105263158,0.052631579,0,6
z,4,0.186046512,0.046511628,3,3
g,8,0.153846154,0.025641026,2,11
a,2,0.32,0.1,8,3
n,6,0.092592593,0.092592593,4,1
v,6,0.263157895,0.078947368,4,5
j,6,0.285714286,0.047619048,1,11
f,6,0.24,0.02,2,9
h,6,0.102040816,0.102040816,5,1
u,2,0.063829787,0.042553191,1,8
q,8,0.074626866,-0.805970149,8,0
x,6,0.085106383,0.085106383,3,1
h,3,0.142857143,0.040816327,0,8
f,6,0.3,0.06,8,4
p,8,0.075757576,0.015151515,1,9
o,8,0.14,0.04,2,4
y,8,0.176470588,0.078431373,7,2
u,4,0.106382979,0.042553191,2,2
f,6,0.22,0.04,2,8
a,2,0.16,0.04,5,3
b,8,0.133333333,0.066666667,4,2
w,6,0.179104478,0.074626866,7,3
k,4,0.206349206,0.047619048,9,4
t,4,0.108108108,0.027027027,1,4
c,6,0.272727273,0.068181818,3,4
q,4,0.134328358,0.029850746,3,3
u,2,0.085106383,0.042553191,3,2
y,8,0.274509804,0.039215686,4,9
b,7,0.15,0.1,0,6
i,4,0.066666667,0.066666667,4,1
k,4,0.111111111,0.031746032,2,3
m,2,0.246575342,0.123287671,10,2
a,6,0.18,0.12,6,1
x,6,0.042553191,0.042553191,1,1
s,4,0.162790698,0.023255814,1,8
k,2,0.047619048,0.047619048,8,1
n,8,0.259259259,0.074074074,6,3
x,4,0.085106383,0.085106383,3,1
e,4,0.083333333,0.041666667,2,3
g,4,0.064102564,0.025641026,2,2
a,6,0.22,0.06,3,3
p,4,0.272727273,0.03030303,3,6
h,4,0.265306122,0.040816327,3,6
o,2,0.04,0.02,2,2
c,4,0.181818182,0.090909091,5,2
m,6,0.219178082,0.04109589,2,7
e,6,0.229166667,0.041666667,2,6
s,8,0.23255814,0.023255814,2,7
o,5,0.26,0.16,7,0
n,4,0.055555556,0.018518519,0,8
r,8,0.185185185,0.037037037,4,4
v,4,0.236842105,0.105263158,6,2
c,6,0.295454545,0.022727273,2,8
s,2,0.069767442,0.069767442,4,1
l,5,0.033333333,0.033333333,5,0
o,6,0.04,-0.7,7,0
b,6,0.25,0.1,8,2
m,5,0.04109589,0.04109589,5,0
x,8,0.191489362,0.085106383,5,2
x,4,0.234042553,0.106382979,5,2
r,8,0.222222222,0.074074074,6,2
w,6,0.029850746,0.014925373,3,3
h,8,0.183673469,0.020408163,2,8
c,2,0.318181818,0.022727273,6,4
m,8,0.178082192,0.02739726,5,5
q,6,0.029850746,0.014925373,1,5
t,6,0.243243243,0.054054054,2,4
l,8,0.133333333,0.133333333,5,1
h,6,0.265306122,0.040816327,2,11
n,2,0.203703704,0.055555556,4,4
c,2,0.25,0.022727273,5,5
l,2,0.2,0.1,4,2
m,8,0.02739726,0.02739726,2,1
p,2,0.151515152,0.045454545,4,2
r,8,0.185185185,0.074074074,5,2
c,8,0.181818182,0.113636364,8,1
s,2,0.11627907,0.11627907,6,1
e,8,0.25,0.041666667,3,7
k,4,0.031746032,0.015873016,0,12
e,4,0.1875,0.083333333,6,2
u,4,0.212765957,0.021276596,2,7
z,2,0.046511628,0.023255814,2,2
s,2,0.209302326,0.093023256,7,2
z,2,0.139534884,0.069767442,4,2
n,2,0.111111111,0.111111111,8,1
q,2,0.089552239,0.029850746,3,2
i,8,0.3,0.066666667,5,3
r,1,0.074074074,0.074074074,6,0
v,5,0.052631579,0.052631579,6,0
q,2,0.23880597,0.044776119,6,3
n,6,0.222222222,0.092592593,6,2
v,6,0.315789474,0.078947368,5,4
g,8,0.179487179,0.012820513,3,7
c,8,0.068181818,-0.818181818,8,0
a,7,0.06,0.06,0,5
k,6,0.174603175,0.031746032,2,5
c,4,0.045454545,0.045454545,3,1
i,2,0.1,0.033333333,2,3
r,2,0.074074074,0.037037037,1,2
l,4,0.033333333,0.033333333,0,2
u,4,0.14893617,0.063829787,4,2
i,2,0.266666667,0.033333333,2,9
p,2,0.045454545,0.015151515,1,3
z,4,0.046511628,0.046511628,2,1
o,8,0.04,-0.46,5,0
x,6,0.234042553,0.106382979,5,2
t,8,0.081081081,0.054054054,2,1
c,8,0.136363636,0.022727273,3,4
n,4,0.203703704,0.055555556,3,3
q,4,0.104477612,0.029850746,2,3
q,6,0.149253731,0.074626866,9,1
b,3,0.2,0.033333333,0,9
e,2,0.104166667,0.020833333,2,6
w,8,0.223880597,0.089552239,8,3
g,2,0.051282051,0.025641026,2,1
d,2,0.196969697,0.045454545,7,4
q,8,0.149253731,0.074626866,9,1
r,8,0.296296296,0.074074074,6,3
w,8,0.104477612,0.044776119,6,2
l,4,0.166666667,0.033333333,1,12
e,6,0.083333333,0.020833333,1,5
l,7,0.133333333,0.133333333,0,6
f,4,0.06,0.06,6,1
g,2,0.166666667,0.076923077,7,1
w,4,0.268656716,0.119402985,11,2
i,2,0.066666667,0.033333333,2,2
z,2,0.069767442,0.023255814,2,6
o,4,0.14,0.06,5,2
u,2,0.085106383,0.042553191,3,2
g,4,0.025641026,0.012820513,0,10
e,6,0.166666667,0.104166667,6,1
r,6,0.259259259,0.074074074,3,3
k,2,0.047619048,0.047619048,9,1
j,8,0.261904762,0.047619048,4,4
a,2,0.24,0.06,3,8
q,8,0.23880597,0.029850746,3,6
l,2,0.2,0.033333333,2,6
o,8,0.22,0.06,3,4
j,8,0.19047619,0.023809524,2,8
v,6,0.157894737,0.052631579,3,6
s,8,0.069767442,0.023255814,1,4
m,2,0.082191781,0.04109589,4,2
z,1,0.11627907,0.11627907,7,0
z,1,0.255813953,0.139534884,8,0
e,6,0.0625,-0.666666667,6,0
q,6,0.074626866,0.014925373,5,2
z,4,0.255813953,0.046511628,2,8
h,8,0.244897959,0.040816327,4,5
l,2,0.033333333,0.033333333,2,1
t,2,0.108108108,0.054054054,2,3
x,4,0.212765957,0.042553191,2,7
w,4,0.119402985,0.119402985,9,1
k,4,0.317460317,0.063492063,4,6
n,8,0.259259259,0.111111111,8,2
f,4,0.2,0.06,5,4
m,3,0.164383562,0.164383562,0,6
p,2,0.075757576,0.03030303,2,2
c,4,0.113636364,0.113636364,6,1
m,6,0.054794521,0.01369863,1,3
p,6,0.136363636,0.015151515,2,4
o,2,0.18,0.08,6,2
x,8,0.276595745,0.127659574,7,2
m,6,0.260273973,0.095890411,11,2
y,6,0.137254902,0.019607843,2,8
u,2,0.063829787,0.063829787,5,1
d,4,0.196969697,0.045454545,7,4
z,2,0.255813953,0.023255814,4,5
l,4,0.066666667,0.066666667,2,1
d,6,0.090909091,0.060606061,4,1
s,4,0.162790698,0.069767442,4,2
w,4,0.268656716,0.029850746,4,6
j,2,0.142857143,0.047619048,3,2
z,2,0.046511628,0.046511628,3,1
r,2,0.111111111,0.111111111,3,1
n,6,0.240740741,0.055555556,3,4
y,2,0.274509804,0.019607843,3,6
g,8,0.166666667,0.051282051,6,2
r,2,0.111111111,0.111111111,3,1
a,4,0.14,0.04,2,5
e,8,0.083333333,0.020833333,2,5
o,2,0.26,0.06,5,4
r,6,0.148148148,0.148148148,4,1
v,4,0.210526316,0.052631579,3,3
y,2,0.098039216,-0.490196078,6,0
n,2,0.12962963,0.074074074,5,2
b,2,0.116666667,0.033333333,2,8
s,6,0.046511628,0.023255814,1,1
y,8,0.156862745,0.039215686,6,3
h,4,0.142857143,0.040816327,8,3
e,8,0.041666667,0.020833333,2,3
c,2,0.113636364,0.045454545,3,3
u,2,0.234042553,0.042553191,4,5
q,2,0.059701493,-0.507462687,5,0
m,8,0.260273973,0.095890411,12,2
t,4,0.189189189,0.027027027,1,7
y,2,0.117647059,0.058823529,3,1
c,2,0.068181818,0.068181818,5,1
c,2,0.090909091,0.090909091,6,1
u,2,0.170212766,0.042553191,3,4
r,4,0.222222222,0.222222222,6,1
w,8,0.029850746,-0.343283582,6,0
k,4,0.206349206,0.047619048,4,4
w,8,0.194029851,0.089552239,11,2
c,8,0.068181818,-0.818181818,8,0
v,6,0.105263158,0.052631579,2,7
e,6,0.270833333,0.020833333,2,8
s,6,0.069767442,0.023255814,1,2
k,2,0.174603175,0.031746032,4,10
i,2,0.033333333,0.033333333,2,1
j,8,0.071428571,0.047619048,3,1
a,2,0.04,0.02,3,2
h,7,0.163265306,0.163265306,0,6
s,6,0.093023256,-0.837209302,6,0
d,2,0.045454545,0.045454545,7,1
l,6,0.3,0.033333333,2,8
k,1,0.174603175,0.079365079,8,0
m,4,0.02739726,0.01369863,0,2
q,2,0.089552239,-0.895522388,9,0
a,2,0.32,0.04,5,6
z,4,0.23255814,0.023255814,3,5
v,8,0.157894737,0.052631579,4,3
b,6,0.116666667,0.016666667,2,7
r,6,0.259259259,0.037037037,2,6
i,4,0.1,0.033333333,0,12
f,4,0.26,0.06,6,4
r,4,0.259259259,0.037037037,2,5
m,6,0.136986301,0.136986301,9,1
e,3,0.104166667,0.104166667,0,6
m,7,0.178082192,0.178082192,0,6
e,8,0.1875,0.020833333,4,4
n,4,0.055555556,0.055555556,2,1
k,8,0.079365079,0.079365079,5,1
g,4,0.256410256,0.064102564,6,3
y,2,0.274509804,0.019607843,3,6
k,6,0.111111111,0.047619048,3,2
j,8,0.261904762,0.023809524,2,11
e,8,0.25,0.0625,4,5
o,2,0.24,0.06,4,4
r,1,0.074074074,0.074074074,6,0
b,2,0.033333333,0.033333333,3,5
p,6,0.106060606,0.015151515,2,2
i,8,0.266666667,0.033333333,2,7
z,6,0.046511628,0.046511628,2,1
v,8,0.105263158,0.052631579,8,1
j,8,0.166666667,0.023809524,2,7
s,6,0.209302326,0.11627907,6,1
h,4,0.102040816,0.06122449,3,2
e,6,0.0625,0.020833333,1,4
v,6,0.052631579,-0.605263158,6,0
t,4,0.054054054,0.054054054,5,1
h,4,0.142857143,0.040816327,6,3
s,2,0.11627907,0.046511628,4,2
s,6,0.139534884,0.046511628,2,2
o,2,0.26,0.02,2,8
z,2,0.302325581,0.069767442,6,3
k,6,0.111111111,0.111111111,6,1
i,2,0.033333333,0.033333333,2,1
v,6,0.026315789,0.026315789,3,3
q,4,0.223880597,0.059701493,6,2
z,6,0.093023256,0.093023256,4,1
w,8,0.253731343,0.044776119,4,8
n,8,0.055555556,0.055555556,3,1
g,4,0.179487179,0.038461538,3,4
r,8,0.111111111,0.111111111,5,1
y,8,0.196078431,0.058823529,5,5
k,2,0.031746032,0.031746032,7,1
n,6,0.203703704,0.037037037,2,5
c,7,0.068181818,0.068181818,0,5
t,4,0.216216216,0.027027027,1,8
m,6,0.150684932,0.02739726,2,5
g,2,0.294871795,0.051282051,6,4
s,2,0.093023256,0.093023256,5,1
m,6,0.219178082,0.04109589,2,7
e,4,0.083333333,0.041666667,3,2
c,8,0.272727273,0.068181818,4,6
p,4,0.242424242,0.121212121,7,1
x,4,0.063829787,0.063829787,2,1
o,4,0.22,0.06,4,4
y,6,0.058823529,-0.549019608,5,0
m,8,0.287671233,0.054794521,9,4
b,6,0.133333333,0.016666667,2,8
w,4,0.194029851,0.014925373,3,6
c,6,0.318181818,0.136363636,6,2
s,4,0.069767442,0.023255814,1,3
d,8,0.166666667,0.015151515,2,9
l,4,0.233333333,0.133333333,3,2
f,2,0.2,0.12,6,2
u,5,0.063829787,0.042553191,6,0
s,2,0.209302326,0.093023256,6,2
s,8,0.139534884,0.069767442,3,2
j,2,0.19047619,0.047619048,3,4
h,2,0.244897959,0.040816327,3,10
e,8,0.0625,-0.666666667,7,0
v,4,0.131578947,0.131578947,6,1
o,4,0.08,0.04,3,2
r,2,0.148148148,0.148148148,4,1
n,2,0.296296296,0.055555556,5,5
v,4,0.289473684,0.131578947,7,2
u,2,0.063829787,0.063829787,4,1
k,2,0.174603175,0.015873016,5,8
k,3,0.206349206,0.047619048,0,9
i,8,0.3,0.066666667,5,3
o,4,0.26,0.08,6,3
l,4,0.266666667,0.033333333,2,4
x,8,0.042553191,0.042553191,2,1
e,8,0.208333333,0.041666667,3,6
p,6,0.257575758,0.075757576,8,3
s,2,0.23255814,0.046511628,2,7
p,4,0.121212121,0.060606061,3,1
l,6,0.166666667,0.033333333,2,4
w,6,0.208955224,0.044776119,3,8
u,8,0.319148936,0.042553191,3,5
q,3,0.089552239,0.089552239,0,5
u,2,0.276595745,0.063829787,6,4
w,8,0.029850746,-0.223880597,5,0
f,6,0.1,0.04,3,2
x,6,0.255319149,0.042553191,3,5
h,1,0.183673469,0.163265306,7,0
g,4,0.102564103,0.038461538,3,2
d,8,0.060606061,0.03030303,2,2
f,2,0.08,0.08,6,1
a,5,0.12,0.12,6,0
q,8,0.28358209,0.089552239,7,3
q,2,0.23880597,0.059701493,7,2
b,2,0.083333333,0.033333333,2,7
u,2,0.063829787,0.063829787,5,1
w,5,0.208955224,0.104477612,8,0
g,1,0.051282051,0.051282051,6,0
p,6,0.090909091,0.03030303,1,10
a,2,0.16,0.04,5,3
o,4,0.22,0.06,4,4
v,7,0.105263158,0.052631579,0,6
e,6,0.166666667,0.104166667,8,1
e,6,0.145833333,0.041666667,2,4
d,7,0.060606061,0.060606061,0,5
o,4,0.22,0.06,4,4
u,3,0.255319149,0.106382979,0,7
i,7,0.166666667,0.166666667,0,6
u,4,0.063829787,0.063829787,2,1
z,6,0.162790698,0.162790698,8,1
v,8,0.052631579,0.026315789,2,6
w,4,0.223880597,0.059701493,6,3
h,2,0.040816327,0.040816327,7,1
b,4,0.166666667,0.05,8,3
g,8,0.076923077,0.038461538,3,2
e,8,0.166666667,0.104166667,7,1
d,6,0.287878788,0.106060606,8,2
o,4,0.08,0.08,5,1
t,8,0.324324324,0.054054054,2,7
v,2,0.236842105,0.105263158,6,2
v,2,0.105263158,0.105263158,5,1
o,6,0.24,0.02,2,7
d,8,0.181818182,0.060606061,5,2
w,8,0.313432836,0.089552239,8,4
f,4,0.2,0.12,8,2
j,6,0.238095238,0.047619048,1,10
m,6,0.136986301,0.136986301,9,1
g,4,0.269230769,0.064102564,5,4
s,8,0.11627907,0.069767442,4,1
z,8,0.046511628,0.023255814,2,2
c,2,0.068181818,0.045454545,3,2
g,2,0.230769231,0.025641026,4,5
d,4,0.060606061,0.045454545,4,5
j,8,0.166666667,0.047619048,4,2
s,6,0.23255814,0.046511628,3,3
j,6,0.214285714,0.119047619,5,1
m,6,0.095890411,0.095890411,6,1
p,8,0.257575758,0.045454545,4,8
b,6,0.183333333,0.033333333,3,5
p,2,0.227272727,0.121212121,8,1
s,6,0.093023256,0.046511628,2,1
s,6,0.302325581,0.093023256,5,2
d,6,0.227272727,0.03030303,3,5
v,2,0.289473684,0.131578947,7,2
k,2,0.222222222,0.047619048,4,11
w,2,0.194029851,0.089552239,8,2
f,2,0.08,0.08,7,1
d,6,0.196969697,0.03030303,2,6
n,2,0.259259259,0.055555556,4,5
b,2,0.133333333,0.033333333,7,4
s,2,0.11627907,0.046511628,4,2
r,6,0.111111111,0.037037037,1,8
s,8,0.255813953,0.023255814,2,8
g,4,0.115384615,0.025641026,1,9
n,4,0.12962963,0.12962963,7,1
k,8,0.285714286,0.079365079,7,3
z,8,0.11627907,0.046511628,4,2
t,4,0.054054054,0.054054054,4,1
z,8,0.046511628,0.046511628,3,1
v,2,0.157894737,0.157894737,7,1
u,8,0.234042553,0.14893617,6,1
q,4,0.268656716,0.074626866,9,2
y,4,0.058823529,0.019607843,1,9
h,2,0.12244898,0.06122449,4,6
f,8,0.14,0.02,5,5
h,2,0.285714286,0.12244898,7,5
d,4,0.257575758,0.045454545,4,10
c,8,0.181818182,0.113636364,8,1
f,2,0.26,0.04,4,6
v,6,0.236842105,0.078947368,5,3
e,6,0.3125,0.0625,4,4
i,4,0.033333333,0.033333333,1,2
l,8,0.266666667,0.066666667,5,3
g,8,0.179487179,0.012820513,3,7
i,4,0.033333333,0.033333333,0,5
b,8,0.283333333,0.066666667,6,3
b,2,0.25,0.05,5,8
f,2,0.26,0.02,5,4
e,2,0.041666667,0.020833333,2,3
d,6,0.227272727,0.03030303,3,5
n,5,0.055555556,0.055555556,5,0
k,6,0.031746032,0.015873016,0,11
m,6,0.04109589,0.01369863,0,8
v,4,0.263157895,0.078947368,5,3
p,4,0.151515152,0.075757576,4,1
t,6,0.189189189,0.027027027,1,7
l,6,0.2,0.033333333,2,5
c,2,0.136363636,0.022727273,3,5
o,2,0.32,0.1,7,3
z,8,0.209302326,0.046511628,5,3
i,2,0.233333333,0.066666667,5,3
x,2,0.14893617,0.063829787,5,2
s,6,0.279069767,0.046511628,2,6
u,3,0.255319149,0.106382979,0,7
s,2,0.186046512,0.046511628,3,4
i,2,0.166666667,0.1,5,2
g,2,0.205128205,0.025641026,4,4
e,2,0.208333333,0.104166667,8,2
h,8,0.204081633,0.040816327,4,4
j,8,0.214285714,0.047619048,3,4
a,8,0.22,0.1,5,2
b,6,0.216666667,0.033333333,3,6
k,6,0.238095238,0.031746032,2,7
q,8,0.28358209,0.089552239,9,3
v,6,0.026315789,0.026315789,1,7
q,4,0.089552239,0.014925373,1,5
d,8,0.060606061,-0.818181818,8,0
g,4,0.256410256,0.076923077,9,2
r,6,0.148148148,0.148148148,4,1
a,1,0.26,0.18,8,0
w,8,0.089552239,0.029850746,5,2
g,7,0.064102564,0.064102564,0,5
x,8,0.063829787,0.021276596,2,2
p,2,0.060606061,0.015151515,1,4
c,6,0.204545455,0.045454545,2,5
c,2,0.25,0.136363636,7,2
p,2,0.196969697,0.03030303,2,6
h,4,0.244897959,0.020408163,2,11
f,2,0.14,0.08,4,2
f,2,0.2,0.12,6,2
o,2,0.32,0.06,3,6
w,7,0.194029851,0.089552239,0,7
u,6,0.255319149,0.042553191,5,3
q,4,0.119402985,0.014925373,1,7
u,4,0.042553191,0.042553191,1,1
e,6,0.3125,0.145833333,8,2
q,2,0.089552239,-0.791044776,8,0
n,6,0.166666667,0.166666667,8,1
e,2,0.208333333,0.104166667,8,2
l,2,0.2,0.1,4,2
x,6,0.191489362,0.191489362,8,1
e,8,0.229166667,0.041666667,5,3
p,6,0.181818182,0.03030303,8,2
r,8,0.111111111,0.037037037,4,2
h,2,0.183673469,0.102040816,6,5
t,8,0.054054054,-0.918918919,5,0
f,8,0.16,0.06,3,11
e,2,0.208333333,0.104166667,7,2
n,6,0.296296296,0.055555556,2,7
w,1,0.029850746,0.029850746,6,0
c,2,0.204545455,0.022727273,4,5
w,8,0.164179104,0.044776119,3,8
f,6,0.18,0.04,2,7
t,4,0.324324324,0.081081081,3,4
v,6,0.236842105,0.078947368,5,3
s,6,0.302325581,0.093023256,5,2
a,2,0.08,0.04,4,2
y,4,0.156862745,0.039215686,3,2
w,6,0.134328358,0.044776119,4,4
e,6,0.166666667,0.104166667,6,1
d,8,0.060606061,-0.696969697,7,0
c,4,0.272727273,0.090909091,5,3
c,2,0.113636364,0.113636364,7,1
q,2,0.119402985,0.059701493,5,1
u,6,0.042553191,-0.382978723,4,0
a,4,0.08,0.02,1,6
k,8,0.222222222,0.031746032,5,4
o,8,0.04,0.04,3,1
j,4,0.071428571,0.047619048,2,1
l,2,0.2,0.033333333,2,6
m,4,0.164383562,0.164383562,13,1
p,4,0.212121212,0.03030303,3,4
w,8,0.029850746,0.014925373,1,8
i,8,0.2,0.066666667,4,2
k,4,0.206349206,0.047619048,6,4
b,6,0.25,0.033333333,3,7
t,8,0.108108108,0.027027027,1,7
x,1,0.212765957,0.127659574,8,0
d,4,0.151515152,0.045454545,8,3
d,8,0.075757576,0.015151515,2,3
z,4,0.209302326,0.023255814,3,4
f,2,0.2,0.02,3,12
l,6,0.133333333,0.133333333,5,1
x,6,0.212765957,0.021276596,3,4
r,4,0.111111111,0.037037037,1,8
v,4,0.105263158,0.105263158,5,1
z,8,0.209302326,0.046511628,5,3
f,2,0.04,0.04,3,1
k,8,0.079365079,0.031746032,3,2
y,8,0.039215686,0.019607843,2,8
z,2,0.139534884,0.139534884,7,1
g,2,0.141025641,0.064102564,6,1
